player_id,player_name,country,country_id,birth_date_utc,primary_position,club_id,club_name,height_cm,preferred_foot,transfer_value_eur
1036253,Noor Al Rawabdeh,Jordan,5816,1997-02-24,central midfielder,165223.0,Selangor,182.0,right,
1059129,Mohammad Abuzraiq,Jordan,5816,1997-12-30,right winger,102049.0,Raja Casablanca,169.0,left,
1179369,Saed Al-Rosan,Jordan,5816,1997-02-01,center back,101684.0,Ethad All Ramtha,186.0,right,
1195369,Nizar Al Rashdan,Jordan,5816,1999-03-23,central midfielder,101900.0,Qatar SC,183.0,right,218352.0
1202924,Ibrahim Saadeh,Jordan,5816,2000-04-27,central midfielder,101686.0,Al-Jazeera,182.0,right,200023.0
1213678,Amer Jamous,Jordan,5816,2002-07-03,central midfielder,101659.0,Al Zawraa,177.0,right,
1247001,Mohannad Abu Taha,Jordan,5816,2003-02-02,left wing-back,101656.0,Al Quwa Al Jawiya,173.0,left,193226.0
1312681,Abdallah Nasib,Jordan,5816,1994-02-25,center back,101688.0,Al-Hussein SC,185.0,right,
1350517,Mohammad Abu Hasheesh,Jordan,5816,1995-05-09,left midfielder,191814.0,Zakho,177.0,left,111363.0
1554109,Husam Abu Dahab,Jordan,5816,2000-05-13,center back,101665.0,Al-Faisaly,186.0,left,
1554110,Nour Bani Attiah,Jordan,5816,1993-01-25,keeper,101665.0,Al-Faisaly,179.0,right,
1642793,Ali Al-Azaizeh,Jordan,5816,2004-04-13,right midfielder,101718.0,Kazma,178.0,left,307980.0
1823348,Odeh Fakhouri,Jordan,5816,2005-11-20,left midfielder,517894.0,Pyramids FC,180.0,right,
1902793,Mohammad Abu Ghoush,Jordan,5816,2005-07-13,defender,0.0,Shabab Al Ordon Al Quadisiya,183.0,left,
546201,Ehsan Haddad,Jordan,5816,1994-02-05,right wing-back,101688.0,Al-Hussein SC,185.0,right,
546203,Rajaei Ayed,Jordan,5816,1993-07-25,central midfielder,101688.0,Al-Hussein SC,179.0,right,
600844,Mohammad Al-Daoud,Jordan,5816,1992-04-12,midfielder,134185.0,Al-Salt,177.0,right,
674520,Mahmoud Al Mardi,Jordan,5816,1993-10-06,left winger,101688.0,Al-Hussein SC,179.0,right,
734654,Yazeed Abulaila,Jordan,5816,1993-01-08,keeper,101688.0,Al-Hussein SC,188.0,right,
813055,Mousa Tamari,Jordan,5816,1997-06-10,left midfielder,9851.0,Rennes,178.0,left,4653544.0
847766,Saleem Obaid,Jordan,5816,1992-01-17,center back,101688.0,Al-Hussein SC,187.0,left,
852168,Yazan Al Arab,Jordan,5816,1996-01-31,center back,92630.0,FC Seoul,185.0,left,654245.0
915790,Abdullah Al Fakhouri,Jordan,5816,2000-01-22,keeper,101690.0,Al-Wehdat,188.0,right,
1042511,Aimar Sher,Iraq,5819,2002-12-20,defensive midfielder,8509.0,Sarpsborg 08,175.0,right,1046801.0
1092563,Hussein Ali,Iraq,5819,2002-03-01,right back,8023.0,Pogoń Szczecin,180.0,right,307485.0
1113688,Ali Al Hamadi,Iraq,5819,2002-03-01,striker,9902.0,Ipswich Town,187.0,right,1357832.0
