overall_rank,player_id,player_name,position,team_name,goals,assists,rating,performance_score,impact_score,cluster,cluster_name
40,1070776,Rodrigo Zalazar,Right Winger,Sporting CP,23.0,9.0,5.738983050847458,11.569491525423729,42.36,0,Elite / Top Performers
41,1117570,Kerem Aktürkoglu,Left Winger,Fenerbahçe,21.0,10.0,6.259090909090909,11.429545454545456,41.85,0,Elite / Top Performers
42,709796,Petar Musa,Striker,FC Dallas,24.0,4.0,6.736111111111111,11.368055555555555,41.62,0,Elite / Top Performers
43,1456983,Armando González,Striker,Chivas,26.0,3.0,5.765454545454545,11.282727272727271,41.31,0,Elite / Top Performers
44,291425,Jhon Córdoba,Striker,FC Krasnodar,25.0,7.0,4.681481481481482,11.240740740740742,41.16,0,Elite / Top Performers
45,961995,Bukayo Saka,Right Winger,Arsenal,18.0,12.0,6.851428571428571,11.225714285714286,41.1,0,Elite / Top Performers
46,540097,Patrik Schick,Striker,Bayer Leverkusen,24.0,4.0,6.421428571428571,11.210714285714284,41.05,0,Elite / Top Performers
47,540088,Ollie Watkins,Striker,Aston Villa,24.0,5.0,5.932857142857144,11.166428571428572,40.89,0,Elite / Top Performers
48,931605,Benjamin Nygren,Attacking Midfielder,Celtic,21.0,10.0,5.68,11.14,40.79,0,Elite / Top Performers
49,906937,Anthony Gordon,Left Winger,Barcelona,20.0,10.0,6.055072463768115,11.027536231884056,40.38,0,Elite / Top Performers
50,163670,Ivan Perisic,Left Winger,PSV Eindhoven,13.0,17.0,7.15593220338983,10.877966101694916,39.83,0,Elite / Top Performers
51,621562,Marcus Thuram,Striker,Inter,20.0,9.0,5.863492063492063,10.731746031746033,39.29,0,Elite / Top Performers
52,1478295,Rayan,Right Winger,AFC Bournemouth,22.0,3.0,6.938181818181818,10.669090909090908,39.06,0,Elite / Top Performers
53,933576,Antoine Semenyo,Right Winger,Manchester City,21.0,6.0,6.1421875,10.57109375,38.71,0,Elite / Top Performers
54,732282,Trincão,Attacking Midfielder,Al Ahli,14.0,16.0,6.295652173913044,10.547826086956524,38.62,0,Elite / Top Performers
55,883080,Morgan Rogers,Attacking Midfielder,Aston Villa,15.0,13.0,6.758571428571427,10.479285714285714,38.37,0,Elite / Top Performers
56,317544,Lawrence Shankland,Striker,Rangers,21.0,4.0,6.723684210526316,10.46184210526316,38.31,0,Elite / Top Performers
56,1044299,Hyeon-Gyu Oh,Striker,Beşiktaş,21.0,6.0,5.926984126984126,10.463492063492062,38.31,0,Elite / Top Performers
58,696365,Marcus Rashford,Left Winger,Manchester United,16.0,13.0,6.078571428571429,10.439285714285717,38.22,0,Elite / Top Performers
59,1054166,Oswin Appollis,Left Winger,Orlando Pirates,16.0,11.0,6.860714285714286,10.430357142857144,38.19,0,Elite / Top Performers
60,440330,Alexander Sørloth,Striker,Atletico Madrid,22.0,3.0,6.387142857142857,10.393571428571429,38.06,0,Elite / Top Performers
61,618774,Christian Fassnacht,Right Winger,Young Boys,20.0,7.0,5.846153846153848,10.323076923076924,37.8,0,Elite / Top Performers
62,523217,Tomás Chory,Striker,Slavia Prague,20.0,7.0,5.8319148936170215,10.315957446808511,37.77,0,Elite / Top Performers
63,728765,Daizen Maeda,Striker,Celtic,18.0,10.0,5.780597014925374,10.290298507462689,37.68,0,Elite / Top Performers
64,173461,Andrej Kramaric,Attacking Midfielder,Hoffenheim,18.0,8.0,6.563461538461538,10.281730769230768,37.65,0,Elite / Top Performers
65,1137705,Enzo Fernández,Attacking Midfielder,Chelsea,18.0,7.0,6.925714285714287,10.262857142857143,37.58,0,Elite / Top Performers
66,706297,Jean-Philippe Mateta,Striker,Crystal Palace,21.0,5.0,5.906060606060606,10.253030303030304,37.54,0,Elite / Top Performers
67,1152455,Florian Wirtz,Left Winger,Liverpool,12.0,15.0,7.283333333333332,10.241666666666664,37.5,0,Elite / Top Performers
68,942368,Jérémy Doku,Left Winger,Manchester City,12.0,15.0,7.26,10.23,37.46,0,Elite / Top Performers
69,1735453,Yan Diomande,Right Winger,RB Leipzig,16.0,10.0,6.726923076923076,10.163461538461538,37.21,0,Elite / Top Performers
70,1297165,Bradley Barcola,Left Winger,Paris Saint-Germain,17.0,8.0,6.884615384615386,10.142307692307693,37.14,0,Elite / Top Performers
71,1036401,Ricardo Pepi,Striker,PSV Eindhoven,21.0,4.0,6.017391304347826,10.108695652173914,37.01,0,Elite / Top Performers
72,1339208,Désiré Doué,Right Winger,Paris Saint-Germain,16.0,9.0,6.994642857142858,10.09732142857143,36.97,0,Elite / Top Performers
73,954131,Lee Dong-Gyeong,Striker,Ulsan HD FC,14.0,13.0,6.500000000000001,10.05,36.8,0,Elite / Top Performers
74,774947,Guus Til,Striker,PSV Eindhoven,18.0,7.0,6.493877551020408,10.046938775510204,36.79,0,Elite / Top Performers
75,1253890,Arda Güler,Attacking Midfielder,Real Madrid,8.0,20.0,7.244615384615384,10.022307692307692,36.7,0,Elite / Top Performers
76,845368,John Yeboah,Striker,Venezia,13.0,13.0,7.041176470588234,10.020588235294117,36.69,0,Elite / Top Performers
77,1576876,Anis Hadj Moussa,Right Winger,Feyenoord,16.0,9.0,6.696491228070176,9.948245614035088,36.43,0,Elite / Top Performers
78,203666,Hans Vanaken,Attacking Midfielder,Club Brugge,14.0,11.0,7.057142857142857,9.928571428571429,36.35,0,Elite / Top Performers
79,1073742,Julio Enciso,Attacking Midfielder,Strasbourg,13.0,13.0,6.827777777777777,9.913888888888888,36.3,0,Elite / Top Performers
80,887704,Keito Nakamura,Left Winger,Reims,17.0,6.0,7.211363636363638,9.90568181818182,36.27,0,Elite / Top Performers
81,110148,Marko Arnautovic,Striker,FK Crvena Zvezda,17.0,9.0,5.978,9.889,36.21,0,Elite / Top Performers
82,1136096,Sebastian Berhalter,Defensive Midfielder,Vancouver Whitecaps,12.0,13.0,7.121153846153845,9.760576923076922,35.74,0,Elite / Top Performers
83,288406,Alejandro Grimaldo,Left Wing-Back,Atletico Madrid,14.0,13.0,5.826865671641791,9.713432835820896,35.57,0,Elite / Top Performers
84,1104053,Rayan Cherki,Attacking Midfielder,Manchester City,11.0,16.0,6.405882352941178,9.702941176470588,35.53,0,Elite / Top Performers
85,527103,Breel Embolo,Striker,Rennes,18.0,5.0,6.55576923076923,9.677884615384617,35.44,0,Elite / Top Performers
86,1412132,Kenan Yildiz,Attacking Midfielder,Juventus,14.0,10.0,6.953125,9.6765625,35.43,0,Elite / Top Performers
87,1132069,Mohamed Touré,Striker,Norwich City,16.0,8.0,6.425581395348837,9.612790697674418,35.2,0,Elite / Top Performers
88,1037539,Pavel Sulc,Attacking Midfielder,Lyon,15.0,9.0,6.50576923076923,9.552884615384617,34.98,0,Elite / Top Performers
89,307753,Salem Al-Dawsari,Left Winger,Al Hilal,12.0,13.0,6.656603773584906,9.528301886792452,34.89,0,Elite / Top Performers
90,1300358,Toni Fruk,Attacking Midfielder,Rijeka,20.0,4.0,5.3646153846153855,9.482307692307693,34.72,0,Elite / Top Performers
91,513492,Trezeguet,Left Winger,Al Ahly SC,19.0,3.0,6.345833333333334,9.472916666666666,34.68,0,Elite / Top Performers
92,614449,Nadiem Amiri,Central Midfielder,Mainz 05,18.0,4.0,6.495652173913043,9.44782608695652,34.59,0,Elite / Top Performers
93,741397,Jens Petter Hauge,Left Winger,Bodø/Glimt,15.0,10.0,5.878181818181818,9.43909090909091,34.56,0,Elite / Top Performers
