player_id,player_name,country,country_id,birth_date_utc,primary_position,club_id,club_name,height_cm,preferred_foot,transfer_value_eur,age,detail_name,positionId,usualPlayingPositionId,shirtNumber,market_value_eur,rating,goals,assists,red_cards,yellow_cards,detail_height_cm,detail_birth_date,detail_transfer_value_eur,season_goals,season_rating,season_assists,player_of_the_match,isCaptain
1210947,Jeremy Antonisse,Curacao,287981,2002-03-29,left winger,488099.0,Kifisia FC,180.0,right,652084.0,24.0,Jeremy Antonisse,,3.0,11,815105.0,,,,,,,,,,,,,
1240833,Tyrick Bodak,Curacao,287981,2002-05-15,keeper,6414.0,Telstar,190.0,right,471386.0,24.0,Tyrick Bodak,,0.0,25,471386.0,,,,,,,,,,,,,
1243246,Livano Comenencia,Curacao,287981,2004-02-03,central midfielder,10243.0,FC Zürich,191.0,right,814218.0,,Livano Comenencia,,,,,,,,,,,,,,,,,
1335315,Deveron Fonville,Curacao,287981,2003-05-16,center back,8464.0,NEC Nijmegen,178.0,left,1069982.0,23.0,Deveron Fonville,37.0,1.0,24,1337478.0,,,,,,,,,,,,,
1439121,Tyrese Noslin,Curacao,287981,2002-09-11,right wing-back,8283.0,Barnsley,182.0,right,974002.0,23.0,Tyrese Noslin,,2.0,13,1217503.0,,,,,,,,,,,,,
150242,Eloy Room,Curacao,287981,1989-02-06,keeper,721896.0,Miami FC,189.0,right,66931.0,37.0,Eloy Room,11.0,0.0,1,83664.0,,,,,,,,,,,,,
183500,Leandro Bacuna,Curacao,287981,1991-08-21,central midfielder,1281818.0,Igdir FK,187.0,right,149924.0,34.0,Leandro Bacuna,76.0,2.0,10,187406.0,,,,,,,,,,,,,True
289441,Jürgen Locadia,Curacao,287981,1993-11-07,striker,721896.0,Miami FC,185.0,right,99318.0,32.0,Jürgen Locadia,115.0,3.0,9,124148.0,,,,,,,,,,,,,
352358,Brandley Kuwas,Curacao,287981,1992-09-19,striker,6601.0,FC Volendam,178.0,left,428769.0,33.0,Brandley Kuwas,,3.0,17,421457.0,,,,,,,,,,,,,
380942,Gervane Kastaneer,Curacao,287981,1996-06-09,striker,165229.0,Terengganu,176.0,right,81869.0,30.0,Gervane Kastaneer,,3.0,19,102336.0,,,,,,,,,,,,,
389845,Joshua Brenet,Curacao,287981,1994-03-20,right back,10182.0,Kayserispor,181.0,right,626642.0,32.0,Joshua Brenet,51.0,1.0,20,678550.0,,,,,,,,,,,,,
467479,Riechedly Bazoer,Curacao,287981,1996-10-12,center back,,Unknown,184.0,right,1152541.0,29.0,Riechedly Bazoer,,1.0,23,1155782.0,,,,,,,,,,,,,
614574,Juninho Bacuna,Curacao,287981,1997-08-07,defensive midfielder,4081.0,Gaziantep FK,178.0,right,1162292.0,28.0,Juninho Bacuna,78.0,2.0,7,1452865.0,,,,,,,,,,,,,
643232,Kenji Gorré,Curacao,287981,1994-09-29,left winger,10185.0,Maccabi Haifa,174.0,right,390897.0,31.0,Kenji Gorré,,3.0,14,488621.0,,,,,,,,,,,,,
671327,Sherel Floranus,Curacao,287981,1998-08-23,left back,6413.0,PEC Zwolle,181.0,right,665131.0,27.0,Sherel Floranus,59.0,1.0,5,831414.0,,,,,,,,,,,,,
708738,Juriën Gaari,Curacao,287981,1993-12-23,center back,150414.0,Abha,183.0,right,205356.0,32.0,Juriën Gaari,33.0,1.0,3,193545.0,,,,,,,,,,,,,
751066,Tahith Chong,Curacao,287981,1999-12-04,right midfielder,8657.0,Sheffield United,185.0,left,2279433.0,26.0,Tahith Chong,72.0,2.0,21,2849292.0,,,,,,,,,,,,,
794244,Armando Obispo,Curacao,287981,1999-03-05,center back,8640.0,PSV Eindhoven,184.0,left,1895338.0,27.0,Armando Obispo,35.0,1.0,18,2250193.0,,,,,,,,,,,,,
873856,Trevor Doornbusch,Curacao,287981,1999-07-06,keeper,9839.0,VVV-Venlo,188.0,right,154603.0,26.0,Trevor Doornbusch,,0.0,26,193253.0,,,,,,,,,,,,,
875845,Kevin Felida,Curacao,287981,1999-11-11,central midfielder,9835.0,FC Den Bosch,174.0,right,195116.0,26.0,Kevin Felida,,2.0,22,243895.0,,,,,,,,,,,,,
924844,Roshon van Eijma,Curacao,287981,1998-06-09,center back,10219.0,RKC Waalwijk,186.0,right,135173.0,28.0,Roshon van Eijma,,1.0,4,119231.0,,,,,,,,,,,,,
938524,Godfried Roemeratoe,Curacao,287981,1999-08-19,central midfielder,10219.0,RKC Waalwijk,180.0,right,160525.0,26.0,Godfried Roemeratoe,,2.0,6,159281.0,,,,,,,,,,,,,
1020026,Sebastián Cáceres,Uruguay,5796,1999-08-18,center back,6576.0,CF America,180.0,right,2493120.0,26.0,Sebastián Cáceres,34.0,1.0,3,3116400.0,,,,,,,,,,,,,
1031656,Maxi Araújo,Uruguay,5796,2000-02-15,left back,9768.0,Sporting CP,180.0,left,22609122.0,,Maxi Araújo,,,,,,,,,,,,,,,,,
1032811,Federico Viñas,Uruguay,5796,1998-06-30,striker,1841.0,Leon,180.0,left,2430811.0,27.0,Federico Viñas,,3.0,21,2736548.0,,,,,,,,,,,,,
1035614,Manuel Ugarte,Uruguay,5796,2001-04-11,defensive midfielder,10260.0,Manchester United,182.0,right,37761001.0,25.0,Manuel Ugarte,66.0,2.0,5,41956668.0,,,,,,,,,,,,,
1053963,Juan Sanabria,Uruguay,5796,2000-03-29,left back,6606.0,Real Salt Lake,172.0,left,2471238.0,26.0,Juan Sanabria,38.0,1.0,25,2984556.0,,,,,,,,,,,,,
1070776,Rodrigo Zalazar,Uruguay,5796,1999-08-12,right winger,9768.0,Sporting CP,178.0,right,20435681.0,26.0,Rodrigo Zalazar,,3.0,26,22706312.0,,,,,,,,,,,,,
1073402,Facundo Pellistri,Uruguay,5796,2001-12-20,right winger,10200.0,Panathinaikos,174.0,right,5768603.0,24.0,Facundo Pellistri,,3.0,11,6786592.0,,,,,,,,,,,,,
1137909,Emiliano Martínez,Uruguay,5796,1999-08-17,defensive midfielder,10283.0,Palmeiras,185.0,right,7632724.0,26.0,Emiliano Martínez,,2.0,15,8979676.0,,,,,,,,,,,,,
401095,Rodrigo Aguirre,Uruguay,5796,1994-10-01,striker,8561.0,Tigres,182.0,left,1662173.0,31.0,Rodrigo Aguirre,,3.0,19,1662173.0,,,,,,,,,,,,,
438647,Giorgian de Arrascaeta,Uruguay,5796,1994-06-01,attacking midfielder,9770.0,Flamengo,173.0,right,12963842.0,32.0,Giorgian De Arrascaeta,,2.0,10,14404269.0,,,,,,,,,,,,,
465614,Guillermo Varela,Uruguay,5796,1993-03-24,right back,9770.0,Flamengo,173.0,right,862229.0,33.0,Guillermo Varela,32.0,1.0,13,1077786.0,,,,,,,,,,,,,
474589,José Giménez,Uruguay,5796,1995-01-20,center back,9906.0,Atletico Madrid,185.0,right,11398208.0,31.0,José Giménez,,1.0,2,12664676.0,,,,,,,,,,,,,
553476,Sergio Rochet,Uruguay,5796,1993-03-23,keeper,8702.0,Internacional,189.0,right,1230105.0,33.0,Sergio Rochet,,0.0,1,1216842.0,,,,,,,,,,,,,
56829,Fernando Muslera,Uruguay,5796,1986-06-16,keeper,10094.0,Estudiantes,190.0,right,692539.0,40.0,Fernando Muslera,11.0,0.0,23,643472.0,,,,,,,,,,,,,
620618,Rodrigo Bentancur,Uruguay,5796,1997-06-25,defensive midfielder,8586.0,Tottenham Hotspur,187.0,right,18974677.0,29.0,Rodrigo Bentancur,64.0,2.0,6,21082975.0,,,,,,,,,,,,,
729093,Mathías Olivera,Uruguay,5796,1997-10-31,center back,9875.0,Napoli,185.0,left,15869654.0,28.0,Mathías Olivera,36.0,1.0,16,17632949.0,,,,,,,,,,,,,
743533,Federico Valverde,Uruguay,5796,1998-07-22,right back,8633.0,Real Madrid,182.0,right,116367199.0,27.0,Federico Valverde,85.0,2.0,8,112969063.0,,,,,,,,,,,,,True
751198,Nicolás de la Cruz,Uruguay,5796,1997-06-01,defensive midfielder,9770.0,Flamengo,167.0,right,9303741.0,29.0,Nicolás de la Cruz,,2.0,7,10337490.0,,,,,,,,,,,,,
840184,Matías Viña,Uruguay,5796,1997-11-09,left back,10076.0,River Plate,180.0,left,2526588.0,28.0,Matías Viña,,1.0,17,3158235.0,,,,,,,,,,,,,
840212,Agustín Canobbio,Uruguay,5796,1998-10-01,right winger,9863.0,Fluminense,175.0,right,3939488.0,,Agustín Canobbio,,,,,,,,,,,,,,,,,
848027,Santiago Mele,Uruguay,5796,1997-09-06,keeper,7849.0,Monterrey,184.0,right,1323246.0,28.0,Santiago Mele,,0.0,12,1654058.0,,,,,,,,,,,,,
848034,Santiago Bueno,Uruguay,5796,1998-11-09,center back,8602.0,Wolverhampton Wanderers,189.0,right,12996933.0,27.0,Santiago Bueno,,1.0,24,14441037.0,,,,,,,,,,,,,
861661,Joaquín Piquerez,Uruguay,5796,1998-08-24,left back,10283.0,Palmeiras,184.0,left,13161262.0,27.0,Joaquín Piquerez,,1.0,22,13161262.0,,,,,,,,,,,,,
921253,Ronald Araujo,Uruguay,5796,1999-03-07,center back,8634.0,Barcelona,192.0,right,28100997.0,27.0,Ronald Araujo,,1.0,4,31223330.0,,,,,,,,,,,,,
941660,Brian Rodríguez,Uruguay,5796,2000-05-20,left winger,6576.0,CF America,174.0,right,7220714.0,26.0,Brian Rodríguez,,3.0,18,8494958.0,,,,,,,,,,,,,
950561,Darwin Núñez,Uruguay,5796,1999-06-24,striker,2529.0,Al Hilal,187.0,right,23994477.0,27.0,Darwin Núñez,115.0,3.0,9,26660531.0,,,,,,,,,,,,,
1023943,Jacob Shaffelburg,Canada,5810,1999-11-26,left winger,867280.0,Los Angeles FC,178.0,left,1611954.0,26.0,Jacob Shaffelburg,,3.0,14,1611954.0,,,,,,,,,,6.29,,,
1026105,Dayne St. Clair,Canada,5810,1997-05-09,keeper,960720.0,Inter Miami CF,191.0,left,1710536.0,29.0,Dayne St. Clair,,0.0,1,1710536.0,,,,,,,,,,,,,
1026135,Tajon Buchanan,Canada,5810,1999-02-08,right midfielder,10205.0,Villarreal,183.0,right,11527839.0,27.0,Tajon Buchanan,72.0,2.0,17,11527839.0,,,,,,,,,,6.65,,,
1055426,Alistair Johnston,Canada,5810,1998-10-08,right back,9925.0,Celtic,180.0,right,7043743.0,,Alistair Johnston,,,,,,,,,,,,,,,,,
1082106,Jayden Nelson,Canada,5810,2002-09-26,left winger,1218886.0,Austin FC,170.0,right,1426915.0,23.0,Jayden Nelson,,3.0,26,1426915.0,,,,,,,,,,,,,
